Episode 104, Agent: 0, Score: 0, Epsilon: 0.8555
Episode 105, Agent: 0, Score: 0, Epsilon: 0.8542
Episode 106, Agent: 0, Score: 0, Epsilon: 0.8529
Episode 107, Agent: 0, Score: 0, Epsilon: 0.8516
Episode 108, Agent: 0, Score: 0, Epsilon: 0.8503
Episode 109, Agent: 0, Score: 0, Epsilon: 0.8491
Episode 110, Agent: 0, Score: 0, Epsilon: 0.8478
Episode 111, Agent: 0, Score: 0, Epsilon: 0.8465
Episode 112, Agent: 0, Score: 0, Epsilon: 0.8452
Episode 113, Agent: 0, Score: 0, Epsilon: 0.8440
Episode 114, Agent: 0, Score: 0, Epsilon: 0.8427
Episode 115, Agent: 0, Score: 0, Epsilon: 0.8414
Episode 116, Agent: 0, Score: 0, Epsilon: 0.8402
Episode 117, Agent: 0, Score: 0, Epsilon: 0.8389
Episode 118, Agent: 0, Score: 0, Epsilon: 0.8377
Episode 119, Agent: 0, Score: 0, Epsilon: 0.8364
Episode 120, Agent: 0, Score: 0, Epsilon: 0.8352
Episode 121, Agent: 0, Score: 0, Epsilon: 0.8339
Episode 122, Agent: 0, Score: 0, Epsilon: 0.8327
Episode 123, Agent: 0, Score: 0, Epsilon: 0.8314
Episode 124, Agent: 0, Score: 0, Epsilon: 0.8302
Episode 125, Agent: 0, Score: 0, Epsilon: 0.8289
Episode 126, Agent: 0, Score: 0, Epsilon: 0.8277
Episode 127, Agent: 0, Score: 0, Epsilon: 0.8264
Episode 128, Agent: 0, Score: 0, Epsilon: 0.8252
Episode 129, Agent: 0, Score: 0, Epsilon: 0.8240
Episode 130, Agent: 0, Score: 0, Epsilon: 0.8227
Episode 131, Agent: 0, Score: 0, Epsilon: 0.8215
Episode 132, Agent: 0, Score: 0, Epsilon: 0.8202
Episode 133, Agent: 0, Score: 0, Epsilon: 0.8190
Episode 134, Agent: 0, Score: 0, Epsilon: 0.8178
Episode 135, Agent: 0, Score: 0, Epsilon: 0.8166
Episode 136, Agent: 0, Score: 0, Epsilon: 0.8153
Episode 137, Agent: 0, Score: 0, Epsilon: 0.8141
Episode 138, Agent: 0, Score: 0, Epsilon: 0.8129
Episode 139, Agent: 0, Score: 0, Epsilon: 0.8117
Episode 140, Agent: 0, Score: 0, Epsilon: 0.8105
Episode 141, Agent: 0, Score: 0, Epsilon: 0.8092
Episode 142, Agent: 0, Score: 0, Epsilon: 0.8080
Episode 143, Agent: 0, Score: 0, Epsilon: 0.8068
Episode 144, Agent: 0, Score: 0, Epsilon: 0.8056
Episode 145, Agent: 0, Score: 0, Epsilon: 0.8044
Episode 146, Agent: 0, Score: 1, Epsilon: 0.8032
